,МЕТРО,Расстояние до центра
83,Кузнецкий мост,0.7934352738244275
84,Кузьминки,10.968464170667584
85,Кунцевская,10.978169516825268
86,Курская,2.78779517348712
87,Кутузовская,5.359965014587145
88,Ленинский проспект,5.66028519774362
89,Лермонтовский проспект,16.238310801757006
90,Лесопарковая,19.63426971090784
91,Лихоборы,10.696084908872649
92,Локомотив,9.68344495241948
93,Ломоносовский проспект,8.542147875590429
94,Лубянка,0.7606965590700235
95,Лужники,5.232210089493877
96,Лухмановская,18.40994278189296
97,Люблино,12.974718683502372
98,Марксистская,3.1879983718706857
99,Марьина роща,4.06625781980401
100,Марьино,14.26962373694671
101,Маяковская,2.0103698577257254
102,Медведково,14.638670397352948
103,Международная,5.183720818539261
104,Менделеевская,2.8940666244767863
105,Минская,8.156568920789367
106,Митино,18.50572047737923
107,Мичуринский проспект,11.11689048469371
108,Молодёжная,12.565360225166804
109,Мякинино,16.134558057226013
110,Нагатинская,8.321276634658718
111,Нагорная,9.357506653884379
112,Нахимовский проспект,10.40777698358698
113,Некрасовка,20.60356438406978
114,Нижегородская,7.634755409753677
115,Новогиреево,12.528873569740018
116,Новокосино,15.7766430250512
117,Новокузнецкая,1.874580302054692
118,Новопеределкино,20.717292354409274
119,Новослободская,2.6427899678333064
120,Новохохловская,7.3920458992014195
121,Новоясеневская,17.715210387987856
122,Новые черёмушки,10.23073912354604
123,Озерная,14.022374956467917
124,Окружная,10.502309723103401
125,Октябрьская,3.079431813310187
126,Октябрьское поле,8.684018632970774
127,Ольховая,23.120559402352125
128,Орехово,16.66971166237584
129,Отрадное,11.754654928063848
130,Охотный ряд,0.0
131,Павелецкая,3.1583110837805246
132,Панфиловская,8.530614069144608
133,Парк культуры,2.6260635421292227
134,Парк победы,6.580863339773407
135,Партизанская,9.14894883916792
136,Первомайская,12.318708849598186
137,Перово,10.654058566118207
138,Петровский парк,5.281066210900006
139,Петровско-разумовская,9.188055645883965
140,Печатники,10.076647582013573
141,Пионерская,9.494288564310938
142,Планерная,16.128040614793928
143,Площадь гагарина,5.833870125331121
144,Площадь ильича,4.284830180260141
145,Площадь революции,0.5529534792233187
146,Полежаевская,6.251838115597034
147,Полянка,2.257720111627126
148,Пражская,16.182018070773825
149,Преображенская площадь,7.599150358465845
150,Прокшино,22.049242469609226
151,Пролетарская,4.193219320584888
152,Проспект вернадского,11.07490951873311
153,Проспект мира,3.015821884080537
154,Профсоюзная,9.45765296090243
155,Пушкинская,1.1650119019112226
156,Пятницкое шоссе,19.559497649765174
157,Раменки,9.904643373102507
158,Рассказовка,22.22100667978838
159,Речной вокзал,13.998546144290781
160,Рижская,4.182719244633863
161,Римская,4.284661828952594
162,Ростокино,9.753478171146481
163,Румянцево,17.60711105160885
164,Рязанский проспект,12.035516276902957
165,Савеловская,4.4717536629455825
166,Савёловская,4.4428277235365305
167,Саларьево,19.213697744354047
168,Свиблово,11.075051795444004
169,Севастопольская,11.758422798532752
170,Селигерская,12.745270601967436
171,Семёновская,7.169793319521669
172,Серпуховская,3.412247171004918
173,Славянский бульвар,9.635361900804442
174,Смоленская,2.1691302952861475
175,Сокол,8.2004671069849
176,Соколиная гора,8.465692570086325
177,Сокольники,5.445119960692068
178,Солнцево,18.32816403932036
179,Спартак,13.106634328589609
180,Спортивная,5.074664916998447
181,Сретенский бульвар,1.7369757703635873
182,Стрешнево,10.053885120144503
183,Строгино,14.302334277119293
184,Студенческая,4.607000200044543
185,Сухаревская,2.02085383014151
186,Сходненская,15.20534908300662
187,Таганская,3.099415182158333
188,Тверская,1.01
189,Текстильщики,8.952819170275397
190,Телецентр,7.213797524884857
191,Тёплый стан,16.717824695945612
192,Технопарк,7.7983169133906385
193,Тимирязевская,7.3001600213008135
194,Третьяковская,1.940806296065239
195,Тропарёво,15.165084215638544
196,Трубная,1.2915403002507846
197,Тульская,5.4881461139060965
198,Тургеневская,1.6735206683792208
199,Тушинская,13.521961286279232
200,Угрешская,6.730685286060768
201,Улица 1905 года,3.5123086147831444
202,Улица академика королёва,7.248660047700337
203,Улица академика янгеля,18.114205644835696
204,Улица горчакова,24.451370265998694
205,улица дмитриевского,17.248811998299896
206,Улица милашенкова,7.363366546760045
207,Улица сергея эйзенштейна,8.277518557841221
208,Улица скобелевская,23.585598990241326
209,Университет,8.808417775555114
210,Филатов луг,21.562575101837023
211,Филёвский парк,8.460508724647188
212,Фили,6.387863066127515
213,Фонвизинская,7.404733153561582
214,Фрунзенская,3.913461024982274
215,Ховрино,15.720706575272658
216,Хорошёво,7.060816996904628
